X,Y,Z,U,V,W,MoveTime(ms)
-29.113,-1.12,238.616,-0.067,0.03,-0.236,1
-29.693,-1.1,239.496,-0.061,0.062,-0.236,1
-30.281,-1.096,240.44,-0.057,0.094,-0.234,1
-30.878,-1.11,241.424,-0.056,0.128,-0.231,1
-31.484,-1.151,242.423,-0.057,0.162,-0.227,1
-32.097,-1.223,243.413,-0.053,0.194,-0.223,1
-32.716,-1.327,244.395,-0.048,0.225,-0.219,1
-33.342,-1.462,245.362,-0.041,0.254,-0.216,1
-33.979,-1.627,246.297,-0.035,0.282,-0.213,1
-34.629,-1.822,247.206,-0.031,0.309,-0.211,1
-35.292,-2.052,248.083,-0.027,0.333,-0.21,1
-35.966,-2.316,248.908,-0.025,0.353,-0.207,1
-36.649,-2.6,249.664,-0.023,0.37,-0.202,1
-37.33,-2.887,250.342,-0.021,0.389,-0.195,1
-38.007,-3.178,250.941,-0.018,0.407,-0.188,1
-38.685,-3.486,251.481,-0.016,0.422,-0.18,1
-39.359,-3.816,251.979,-0.014,0.434,-0.172,1
-40.023,-4.17,252.44,-0.013,0.444,-0.166,1
-40.676,-4.547,252.853,-0.011,0.453,-0.157,1
-41.325,-4.941,253.22,-0.01,0.46,-0.143,1
-41.968,-5.348,253.536,-0.009,0.465,-0.128,1
-42.598,-5.765,253.789,-0.014,0.471,-0.112,1
-43.211,-6.185,253.977,-0.02,0.476,-0.098,1
-43.807,-6.605,254.097,-0.027,0.48,-0.085,1
-44.387,-7.032,254.154,-0.033,0.481,-0.07,1
-44.949,-7.473,254.169,-0.036,0.48,-0.055,1
-45.492,-7.919,254.164,-0.034,0.479,-0.041,1
-46.019,-8.355,254.142,-0.031,0.481,-0.028,1
-46.536,-8.781,254.106,-0.031,0.483,-0.016,1
-47.045,-9.204,254.071,-0.034,0.486,-0.003,1
-47.542,-9.63,254.039,-0.038,0.49,0.01,1
-48.025,-10.057,254.003,-0.039,0.492,0.024,1
-48.493,-10.474,253.949,-0.038,0.494,0.039,1
-48.946,-10.879,253.877,-0.038,0.495,0.052,1
-49.387,-11.276,253.802,-0.037,0.496,0.063,1
-49.818,-11.661,253.744,-0.037,0.497,0.071,1
-50.235,-12.038,253.707,-0.038,0.497,0.08,1
-50.636,-12.419,253.707,-0.037,0.497,0.09,1
-51.026,-12.806,253.757,-0.037,0.497,0.1,1
-51.401,-13.188,253.843,-0.036,0.495,0.109,1
-51.751,-13.563,253.952,-0.037,0.494,0.118,1
-52.071,-13.934,254.087,-0.036,0.494,0.127,1
-52.358,-14.297,254.238,-0.033,0.494,0.137,1
-52.604,-14.643,254.381,-0.03,0.496,0.147,1
-52.808,-14.972,254.518,-0.026,0.497,0.157,1
-52.962,-15.278,254.667,-0.02,0.497,0.166,1
-53.06,-15.553,254.828,-0.014,0.495,0.173,1
-53.092,-15.797,254.989,-0.008,0.49,0.175,1
-53.057,-16.011,255.153,-0.002,0.483,0.175,1
-52.956,-16.194,255.317,0.003,0.474,0.176,1
-52.793,-16.35,255.471,0.007,0.464,0.175,1
-52.568,-16.474,255.624,0.011,0.451,0.172,1
-52.282,-16.559,255.789,0.014,0.438,0.17,1
-51.946,-16.61,255.963,0.018,0.422,0.168,1
-51.574,-16.647,256.134,0.021,0.407,0.164,1
-51.181,-16.685,256.302,0.024,0.389,0.161,1
-50.774,-16.728,256.451,0.029,0.367,0.156,1
-50.357,-16.78,256.56,0.035,0.343,0.15,1
-49.934,-16.84,256.635,0.043,0.32,0.145,1
-49.508,-16.909,256.683,0.051,0.299,0.141,1
-49.08,-16.99,256.707,0.059,0.276,0.138,1
-48.656,-17.089,256.711,0.066,0.251,0.134,1
-48.25,-17.216,256.678,0.072,0.227,0.129,1
-47.877,-17.376,256.592,0.078,0.204,0.126,1
-47.541,-17.559,256.456,0.083,0.18,0.126,1
-47.232,-17.755,256.279,0.089,0.155,0.129,1
-46.946,-17.965,256.064,0.096,0.13,0.134,1
-46.685,-18.186,255.806,0.107,0.107,0.141,1
-46.441,-18.408,255.499,0.12,0.085,0.151,1
-46.205,-18.627,255.143,0.131,0.064,0.16,1
-45.98,-18.843,254.748,0.137,0.042,0.165,1
-45.764,-19.055,254.324,0.141,0.019,0.168,1
-45.558,-19.263,253.886,0.145,-0.004,0.171,1
-45.361,-19.472,253.459,0.151,-0.024,0.171,1
-45.164,-19.682,253.061,0.156,-0.044,0.171,1
-44.953,-19.888,252.687,0.157,-0.064,0.17,1
-44.716,-20.086,252.324,0.155,-0.085,0.172,1
-44.451,-20.271,251.965,0.154,-0.103,0.176,1
-44.161,-20.442,251.605,0.156,-0.122,0.182,1
-43.843,-20.602,251.241,0.159,-0.141,0.184,1
-43.497,-20.752,250.877,0.159,-0.159,0.182,1
-43.126,-20.881,250.526,0.157,-0.174,0.177,1
